Health authority,HSDA,Local Health Areas,metric,2015,2015,2015,2015,2015,2015,2015,2015
Northern,Northwest,Stikine and Snow Country,count,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed
Interior,Okanagan,Summerland,count,0,0,4,2,1,2,0,2
VCH,North Shore/Coast Garibaldi,Sunshine Coast,count,2,3,7,6,3,7,12,9
Fraser,Fraser South,Surrey,count,72,115,174,196,113,201,266,216
Northern,Northwest,Telegraph Creek,count,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed
Northern,Northwest,Terrace,count,3,4,3,6,7,10,17,25
Interior,Kootenay Boundary,Trail,count,0,2,5,2,3,4,6,5
Fraser,Fraser North,Tri-Cities,count,15,23,45,38,20,47,66,53
Northern,Northwest,Upper Skeena,count,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed
VCH,Vancouver,Vancouver - Centre North,count,78,139,186,215,147,250,306,319
VCH,Vancouver,Vancouver - City Centre,count,30,36,84,68,44,64,85,104
VCH,Vancouver,Vancouver - Midtown,count,11,16,39,35,18,37,49,47
VCH,Vancouver,Vancouver - Northeast,count,6,13,25,36,17,24,39,35
VCH,Vancouver,Vancouver - South,count,7,15,30,31,13,31,35,38
VCH,Vancouver,Vancouver -Westside,count,6,12,9,11,6,10,16,7
Island,North Vancouver Island,Vancouver Island North,count,0,1,1,1,3,2,5,4
Island,North Vancouver Island,Vancouver IslandWest,count,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed,Surpressed
Interior,Okanagan,Vernon,count,7,14,30,24,14,30,43,46
VCH,North Shore/Coast Garibaldi,West Vancouver/Bowen Isl..,count,3,5,6,6,3,7,6,5
Island,South Vancouver Island,Western Communities,count,5,7,11,18,5,16,21,12
Interior,East Kootenay,Windermere,count,0,4,3,1,0,3,1,1
